support,itemsets,length
0.325,"frozenset({'bread', 'soda', 'milk', 'beer'})",4
0.25,"frozenset({'milk', 'diapers', 'chips', 'beer'})",4
0.25,"frozenset({'diapers', 'soda', 'chips', 'beer'})",4
0.325,"frozenset({'milk', 'soda', 'chips', 'beer'})",4
0.225,"frozenset({'diapers', 'milk', 'beer', 'pasta'})",4
0.25,"frozenset({'diapers', 'soda', 'milk', 'beer'})",4
0.25,"frozenset({'milk', 'diapers', 'chips', 'bread'})",4
0.25,"frozenset({'diapers', 'soda', 'chips', 'bread'})",4
0.325,"frozenset({'milk', 'soda', 'chips', 'bread'})",4
0.225,"frozenset({'diapers', 'milk', 'bread', 'pasta'})",4
0.275,"frozenset({'diapers', 'soda', 'milk', 'bread'})",4
0.25,"frozenset({'diapers', 'soda', 'chips', 'milk'})",4
0.225,"frozenset({'chips', 'bread', 'diapers', 'milk', 'beer'})",5
0.225,"frozenset({'soda', 'chips', 'bread', 'diapers', 'beer'})",5
0.3,"frozenset({'soda', 'chips', 'bread', 'milk', 'beer'})",5
0.2,"frozenset({'bread', 'diapers', 'milk', 'beer', 'pasta'})",5
0.225,"frozenset({'soda', 'bread', 'diapers', 'milk', 'beer'})",5
0.225,"frozenset({'soda', 'chips', 'diapers', 'milk', 'beer'})",5
0.225,"frozenset({'soda', 'chips', 'bread', 'diapers', 'milk'})",5
0.2,"frozenset({'soda', 'chips', 'bread', 'diapers', 'milk', 'beer'})",6
