antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'diapers', 'soda', 'milk', 'beer'})","frozenset({'chips', 'bread'})",0.25,0.4,0.2,0.8,2.0,1.0,0.1,3.0000000000000004,0.6666666666666666,0.4444444444444445,0.6666666666666667,0.65
"frozenset({'chips', 'milk'})","frozenset({'beer', 'soda', 'bread'})",0.375,0.4,0.3,0.7999999999999999,1.9999999999999998,1.0,0.14999999999999997,2.999999999999999,0.7999999999999998,0.631578947368421,0.6666666666666665,0.7749999999999999
"frozenset({'beer', 'chips', 'bread'})","frozenset({'soda', 'milk'})",0.375,0.4,0.3,0.7999999999999999,1.9999999999999998,1.0,0.14999999999999997,2.999999999999999,0.7999999999999998,0.631578947368421,0.6666666666666665,0.7749999999999999
"frozenset({'soda', 'milk'})","frozenset({'beer', 'chips', 'bread'})",0.4,0.375,0.3,0.7499999999999999,1.9999999999999998,1.0,0.14999999999999997,2.499999999999999,0.8333333333333331,0.631578947368421,0.5999999999999999,0.7749999999999999
"frozenset({'beer', 'soda', 'bread'})","frozenset({'chips', 'milk'})",0.4,0.375,0.3,0.7499999999999999,1.9999999999999998,1.0,0.14999999999999997,2.499999999999999,0.8333333333333331,0.631578947368421,0.5999999999999999,0.7749999999999999
"frozenset({'milk', 'chips'})","frozenset({'soda', 'bread'})",0.375,0.45,0.325,0.8666666666666667,1.925925925925926,1.0,0.15625,4.125000000000001,0.7692307692307693,0.6500000000000001,0.7575757575757576,0.7944444444444445
"frozenset({'milk', 'chips'})","frozenset({'soda', 'beer'})",0.375,0.45,0.325,0.8666666666666667,1.925925925925926,1.0,0.15625,4.125000000000001,0.7692307692307693,0.6500000000000001,0.7575757575757576,0.7944444444444445
"frozenset({'soda', 'beer'})","frozenset({'milk', 'chips'})",0.45,0.375,0.325,0.7222222222222222,1.9259259259259258,1.0,0.15625,2.25,0.8741258741258741,0.6500000000000001,0.5555555555555556,0.7944444444444445
"frozenset({'soda', 'bread'})","frozenset({'milk', 'chips'})",0.45,0.375,0.325,0.7222222222222222,1.9259259259259258,1.0,0.15625,2.25,0.8741258741258741,0.6500000000000001,0.5555555555555556,0.7944444444444445
"frozenset({'beer', 'chips', 'milk'})","frozenset({'diapers', 'soda', 'bread'})",0.35,0.3,0.2,0.5714285714285715,1.904761904761905,1.0,0.09500000000000001,1.6333333333333335,0.7307692307692308,0.4444444444444446,0.3877551020408165,0.6190476190476191
"frozenset({'milk', 'chips', 'bread'})","frozenset({'diapers', 'soda', 'beer'})",0.35,0.3,0.2,0.5714285714285715,1.904761904761905,1.0,0.09500000000000001,1.6333333333333335,0.7307692307692308,0.4444444444444446,0.3877551020408165,0.6190476190476191
"frozenset({'diapers', 'chips', 'bread'})","frozenset({'soda', 'milk', 'beer'})",0.3,0.35,0.2,0.6666666666666667,1.904761904761905,1.0,0.09500000000000001,1.9500000000000004,0.6785714285714287,0.4444444444444446,0.48717948717948734,0.6190476190476191
"frozenset({'diapers', 'soda', 'bread'})","frozenset({'beer', 'chips', 'milk'})",0.3,0.35,0.2,0.6666666666666667,1.904761904761905,1.0,0.09500000000000001,1.9500000000000004,0.6785714285714287,0.4444444444444446,0.48717948717948734,0.6190476190476191
"frozenset({'soda', 'milk', 'beer'})","frozenset({'diapers', 'chips', 'bread'})",0.35,0.3,0.2,0.5714285714285715,1.904761904761905,1.0,0.09500000000000001,1.6333333333333335,0.7307692307692308,0.4444444444444446,0.3877551020408165,0.6190476190476191
"frozenset({'diapers', 'soda', 'beer'})","frozenset({'milk', 'chips', 'bread'})",0.3,0.35,0.2,0.6666666666666667,1.904761904761905,1.0,0.09500000000000001,1.9500000000000004,0.6785714285714287,0.4444444444444446,0.48717948717948734,0.6190476190476191
"frozenset({'soda', 'bread'})","frozenset({'beer', 'chips', 'milk'})",0.45,0.35,0.3,0.6666666666666666,1.9047619047619049,1.0,0.1425,1.95,0.8636363636363635,0.6,0.4871794871794871,0.7619047619047619
"frozenset({'milk', 'chips', 'bread'})","frozenset({'soda', 'beer'})",0.35,0.45,0.3,0.8571428571428572,1.9047619047619049,1.0,0.1425,3.850000000000002,0.7307692307692307,0.6,0.7402597402597403,0.7619047619047619
"frozenset({'soda', 'beer'})","frozenset({'milk', 'chips', 'bread'})",0.45,0.35,0.3,0.6666666666666666,1.9047619047619049,1.0,0.1425,1.95,0.8636363636363635,0.6,0.4871794871794871,0.7619047619047619
"frozenset({'beer', 'chips', 'milk'})","frozenset({'soda', 'bread'})",0.35,0.45,0.3,0.8571428571428572,1.9047619047619049,1.0,0.1425,3.850000000000002,0.7307692307692307,0.6,0.7402597402597403,0.7619047619047619
"frozenset({'diapers', 'soda', 'milk'})","frozenset({'chips', 'bread'})",0.3,0.4,0.225,0.75,1.875,1.0,0.10500000000000001,2.4,0.6666666666666667,0.4736842105263158,0.5833333333333334,0.65625
"frozenset({'diapers', 'chips', 'bread'})","frozenset({'soda', 'milk'})",0.3,0.4,0.225,0.75,1.875,1.0,0.10500000000000001,2.4,0.6666666666666667,0.4736842105263158,0.5833333333333334,0.65625
"frozenset({'chips', 'bread'})","frozenset({'diapers', 'soda', 'milk'})",0.4,0.3,0.225,0.5625,1.875,1.0,0.10500000000000001,1.5999999999999999,0.7777777777777778,0.4736842105263158,0.37500000000000006,0.65625
"frozenset({'diapers', 'soda', 'beer'})","frozenset({'chips', 'bread'})",0.3,0.4,0.225,0.75,1.875,1.0,0.10500000000000001,2.4,0.6666666666666667,0.4736842105263158,0.5833333333333334,0.65625
"frozenset({'chips', 'bread'})","frozenset({'diapers', 'soda', 'beer'})",0.4,0.3,0.225,0.5625,1.875,1.0,0.10500000000000001,1.5999999999999999,0.7777777777777778,0.4736842105263158,0.37500000000000006,0.65625
"frozenset({'soda', 'milk'})","frozenset({'diapers', 'chips', 'bread'})",0.4,0.3,0.225,0.5625,1.875,1.0,0.10500000000000001,1.5999999999999999,0.7777777777777778,0.4736842105263158,0.37500000000000006,0.65625
"frozenset({'beer', 'diapers', 'chips', 'bread'})","frozenset({'soda', 'milk'})",0.275,0.4,0.2,0.7272727272727273,1.8181818181818181,1.0,0.09,2.2,0.6206896551724138,0.42105263157894735,0.5454545454545455,0.6136363636363636
"frozenset({'beer', 'soda', 'bread'})","frozenset({'diapers', 'chips', 'milk'})",0.4,0.275,0.2,0.5,1.8181818181818181,1.0,0.09,1.45,0.75,0.42105263157894735,0.31034482758620685,0.6136363636363636
"frozenset({'soda', 'cereal'})",frozenset({'chips'}),0.2,0.55,0.2,1.0,1.8181818181818181,1.0,0.09,inf,0.5624999999999999,0.36363636363636365,1.0,0.6818181818181819
"frozenset({'soda', 'bread'})","frozenset({'diapers', 'chips', 'milk'})",0.45,0.275,0.225,0.5,1.8181818181818181,1.0,0.10124999999999999,1.45,0.818181818181818,0.4499999999999999,0.31034482758620685,0.6590909090909091
"frozenset({'apple', 'beer'})",frozenset({'chips'}),0.2,0.55,0.2,1.0,1.8181818181818181,1.0,0.09,inf,0.5624999999999999,0.36363636363636365,1.0,0.6818181818181819
"frozenset({'soda', 'beer'})","frozenset({'diapers', 'chips', 'milk'})",0.45,0.275,0.225,0.5,1.8181818181818181,1.0,0.10124999999999999,1.45,0.818181818181818,0.4499999999999999,0.31034482758620685,0.6590909090909091
"frozenset({'diapers', 'chips', 'milk'})","frozenset({'beer', 'soda', 'bread'})",0.275,0.4,0.2,0.7272727272727273,1.8181818181818181,1.0,0.09,2.2,0.6206896551724138,0.42105263157894735,0.5454545454545455,0.6136363636363636
"frozenset({'soda', 'milk'})","frozenset({'beer', 'diapers', 'chips', 'bread'})",0.4,0.275,0.2,0.5,1.8181818181818181,1.0,0.09,1.45,0.75,0.42105263157894735,0.31034482758620685,0.6136363636363636
"frozenset({'diapers', 'chips', 'milk'})","frozenset({'soda', 'beer'})",0.275,0.45,0.225,0.8181818181818181,1.818181818181818,1.0,0.10124999999999999,3.024999999999999,0.6206896551724138,0.4499999999999999,0.6694214876033056,0.6590909090909091
"frozenset({'diapers', 'chips', 'milk'})","frozenset({'soda', 'bread'})",0.275,0.45,0.225,0.8181818181818181,1.818181818181818,1.0,0.10124999999999999,3.024999999999999,0.6206896551724138,0.4499999999999999,0.6694214876033056,0.6590909090909091
"frozenset({'chips', 'bread'})","frozenset({'soda', 'beer'})",0.4,0.45,0.325,0.8125,1.8055555555555556,1.0,0.145,2.9333333333333336,0.7435897435897435,0.619047619047619,0.6590909090909091,0.7673611111111112
"frozenset({'soda', 'beer'})","frozenset({'chips', 'bread'})",0.45,0.4,0.325,0.7222222222222222,1.8055555555555554,1.0,0.145,2.1599999999999997,0.811188811188811,0.619047619047619,0.537037037037037,0.7673611111111112
"frozenset({'beer', 'diapers', 'chips', 'milk'})","frozenset({'soda', 'bread'})",0.25,0.45,0.2,0.8,1.777777777777778,1.0,0.08750000000000001,2.750000000000001,0.5833333333333333,0.4000000000000001,0.6363636363636364,0.6222222222222222
"frozenset({'diapers', 'soda', 'milk'})","frozenset({'beer', 'chips', 'bread'})",0.3,0.375,0.2,0.6666666666666667,1.777777777777778,1.0,0.08750000000000002,1.8750000000000004,0.6250000000000002,0.42105263157894735,0.4666666666666668,0.6000000000000001
"frozenset({'beer', 'chips', 'bread'})","frozenset({'diapers', 'soda', 'milk'})",0.375,0.3,0.2,0.5333333333333333,1.777777777777778,1.0,0.08750000000000002,1.4999999999999998,0.7000000000000002,0.42105263157894735,0.33333333333333337,0.6000000000000001
"frozenset({'milk', 'diapers', 'chips', 'bread'})","frozenset({'soda', 'beer'})",0.25,0.45,0.2,0.8,1.777777777777778,1.0,0.08750000000000001,2.750000000000001,0.5833333333333333,0.4000000000000001,0.6363636363636364,0.6222222222222222
frozenset({'soda'}),"frozenset({'chips', 'milk'})",0.525,0.375,0.35,0.6666666666666666,1.7777777777777777,1.0,0.15312499999999996,1.8749999999999998,0.9210526315789472,0.6363636363636362,0.4666666666666666,0.7999999999999999
"frozenset({'diapers', 'soda'})","frozenset({'chips', 'milk'})",0.375,0.375,0.25,0.6666666666666666,1.7777777777777777,1.0,0.109375,1.8749999999999998,0.7,0.5,0.4666666666666666,0.6666666666666666
"frozenset({'chips', 'milk'})","frozenset({'diapers', 'soda'})",0.375,0.375,0.25,0.6666666666666666,1.7777777777777777,1.0,0.109375,1.8749999999999998,0.7,0.5,0.4666666666666666,0.6666666666666666
"frozenset({'chips', 'milk'})",frozenset({'soda'}),0.375,0.525,0.35,0.9333333333333332,1.7777777777777775,1.0,0.15312499999999996,7.124999999999989,0.6999999999999998,0.6363636363636362,0.8596491228070173,0.7999999999999999
"frozenset({'milk', 'bread', 'chips'})",frozenset({'soda'}),0.35,0.525,0.325,0.9285714285714287,1.7687074829931975,1.0,0.14125000000000001,6.650000000000013,0.6686390532544378,0.5909090909090908,0.8496240601503763,0.773809523809524
frozenset({'soda'}),"frozenset({'milk', 'bread', 'chips'})",0.525,0.35,0.325,0.6190476190476191,1.7687074829931975,1.0,0.14125000000000001,1.70625,0.9149797570850204,0.5909090909090908,0.41391941391941395,0.773809523809524
"frozenset({'milk', 'beer', 'chips'})",frozenset({'soda'}),0.35,0.525,0.325,0.9285714285714287,1.7687074829931975,1.0,0.14125000000000001,6.650000000000013,0.6686390532544378,0.5909090909090908,0.8496240601503763,0.773809523809524
frozenset({'soda'}),"frozenset({'milk', 'beer', 'chips'})",0.525,0.35,0.325,0.6190476190476191,1.7687074829931975,1.0,0.14125000000000001,1.70625,0.9149797570850204,0.5909090909090908,0.41391941391941395,0.773809523809524
"frozenset({'milk', 'beer', 'chips', 'bread'})",frozenset({'soda'}),0.325,0.525,0.3,0.923076923076923,1.758241758241758,1.0,0.12937499999999996,6.1749999999999945,0.6388888888888886,0.5454545454545454,0.8380566801619432,0.7472527472527473
frozenset({'soda'}),"frozenset({'milk', 'beer', 'chips', 'bread'})",0.525,0.325,0.3,0.5714285714285714,1.758241758241758,1.0,0.12937499999999996,1.575,0.9078947368421051,0.5454545454545454,0.365079365079365,0.7472527472527473
"frozenset({'diapers', 'chips', 'milk'})",frozenset({'soda'}),0.275,0.525,0.25,0.9090909090909091,1.7316017316017314,1.0,0.10562499999999997,5.224999999999998,0.582758620689655,0.45454545454545453,0.8086124401913874,0.6926406926406926
"frozenset({'milk', 'chips', 'bread'})","frozenset({'diapers', 'soda'})",0.35,0.375,0.225,0.6428571428571429,1.7142857142857144,1.0,0.09375000000000003,1.7500000000000002,0.6410256410256411,0.45,0.42857142857142866,0.6214285714285714
"frozenset({'diapers', 'soda'})","frozenset({'beer', 'chips', 'milk'})",0.375,0.35,0.225,0.6,1.7142857142857144,1.0,0.09375000000000003,1.625,0.6666666666666669,0.45,0.3846153846153846,0.6214285714285714
"frozenset({'diapers', 'soda'})","frozenset({'milk', 'chips', 'bread'})",0.375,0.35,0.225,0.6,1.7142857142857144,1.0,0.09375000000000003,1.625,0.6666666666666669,0.45,0.3846153846153846,0.6214285714285714
"frozenset({'beer', 'chips', 'milk'})","frozenset({'diapers', 'soda'})",0.35,0.375,0.225,0.6428571428571429,1.7142857142857144,1.0,0.09375000000000003,1.7500000000000002,0.6410256410256411,0.45,0.42857142857142866,0.6214285714285714
"frozenset({'milk', 'diapers', 'chips', 'bread'})",frozenset({'soda'}),0.25,0.525,0.225,0.9,1.7142857142857142,1.0,0.09375,4.750000000000001,0.5555555555555555,0.40909090909090906,0.7894736842105263,0.6642857142857143
"frozenset({'beer', 'diapers', 'chips', 'milk'})",frozenset({'soda'}),0.25,0.525,0.225,0.9,1.7142857142857142,1.0,0.09375,4.750000000000001,0.5555555555555555,0.40909090909090906,0.7894736842105263,0.6642857142857143
"frozenset({'beer', 'pasta'})","frozenset({'diapers', 'milk'})",0.25,0.525,0.225,0.9,1.7142857142857142,1.0,0.09375,4.750000000000001,0.5555555555555555,0.40909090909090906,0.7894736842105263,0.6642857142857143
"frozenset({'chips', 'beer'})","frozenset({'soda', 'milk'})",0.475,0.4,0.325,0.6842105263157895,1.7105263157894737,1.0,0.135,1.9000000000000001,0.7912087912087912,0.5909090909090908,0.4736842105263158,0.7483552631578947
"frozenset({'soda', 'milk'})","frozenset({'chips', 'beer'})",0.4,0.475,0.325,0.8125,1.7105263157894737,1.0,0.135,2.8000000000000003,0.6923076923076923,0.5909090909090908,0.6428571428571429,0.7483552631578947
"frozenset({'beer', 'bread', 'pasta'})","frozenset({'diapers', 'milk'})",0.225,0.525,0.2,0.888888888888889,1.6931216931216932,1.0,0.081875,4.275000000000002,0.5282258064516129,0.36363636363636365,0.7660818713450294,0.6349206349206349
"frozenset({'chips', 'bread', 'diapers', 'milk', 'beer'})",frozenset({'soda'}),0.225,0.525,0.2,0.888888888888889,1.6931216931216932,1.0,0.081875,4.275000000000002,0.5282258064516129,0.36363636363636365,0.7660818713450294,0.6349206349206349
"frozenset({'cereal', 'chips'})",frozenset({'soda'}),0.225,0.525,0.2,0.888888888888889,1.6931216931216932,1.0,0.081875,4.275000000000002,0.5282258064516129,0.36363636363636365,0.7660818713450294,0.6349206349206349
"frozenset({'soda', 'milk', 'beer'})",frozenset({'chips'}),0.35,0.55,0.325,0.9285714285714287,1.6883116883116884,1.0,0.1325,6.300000000000012,0.6272189349112426,0.5652173913043479,0.8412698412698416,0.7597402597402598
frozenset({'chips'}),"frozenset({'soda', 'milk', 'beer'})",0.55,0.35,0.325,0.5909090909090908,1.6883116883116882,1.0,0.1325,1.5888888888888886,0.9059829059829061,0.5652173913043479,0.3706293706293705,0.7597402597402598
"frozenset({'soda', 'milk', 'bread'})","frozenset({'chips', 'beer'})",0.375,0.475,0.3,0.7999999999999999,1.6842105263157894,1.0,0.12187500000000001,2.624999999999999,0.65,0.5454545454545454,0.619047619047619,0.7157894736842105
"frozenset({'chips', 'beer'})","frozenset({'soda', 'milk', 'bread'})",0.475,0.375,0.3,0.631578947368421,1.6842105263157894,1.0,0.12187500000000001,1.6964285714285712,0.7738095238095238,0.5454545454545454,0.41052631578947363,0.7157894736842105
"frozenset({'beer', 'soda', 'milk', 'bread'})",frozenset({'chips'}),0.325,0.55,0.3,0.923076923076923,1.6783216783216781,1.0,0.12124999999999997,5.849999999999995,0.5987654320987652,0.5217391304347826,0.8290598290598289,0.7342657342657342
frozenset({'chips'}),"frozenset({'beer', 'soda', 'milk', 'bread'})",0.55,0.325,0.3,0.5454545454545454,1.6783216783216781,1.0,0.12124999999999997,1.4849999999999999,0.898148148148148,0.5217391304347826,0.3265993265993265,0.7342657342657342
"frozenset({'soda', 'beer'})","frozenset({'diapers', 'chips', 'bread'})",0.45,0.3,0.225,0.5,1.6666666666666667,1.0,0.09,1.4,0.7272727272727272,0.42857142857142855,0.28571428571428575,0.625
"frozenset({'chips', 'bread'})","frozenset({'diapers', 'soda'})",0.4,0.375,0.25,0.625,1.6666666666666667,1.0,0.09999999999999998,1.6666666666666667,0.6666666666666665,0.47619047619047616,0.4,0.6458333333333333
frozenset({'soda'}),"frozenset({'chips', 'bread'})",0.525,0.4,0.35,0.6666666666666666,1.6666666666666665,1.0,0.13999999999999996,1.7999999999999998,0.8421052631578946,0.608695652173913,0.44444444444444436,0.7708333333333333
"frozenset({'diapers', 'soda'})","frozenset({'chips', 'bread'})",0.375,0.4,0.25,0.6666666666666666,1.6666666666666665,1.0,0.09999999999999998,1.7999999999999998,0.6399999999999999,0.47619047619047616,0.44444444444444436,0.6458333333333333
"frozenset({'diapers', 'chips', 'bread'})","frozenset({'soda', 'beer'})",0.3,0.45,0.225,0.75,1.6666666666666665,1.0,0.09,2.2,0.5714285714285714,0.42857142857142855,0.5454545454545454,0.625
"frozenset({'chips', 'bread'})",frozenset({'soda'}),0.4,0.525,0.35,0.8749999999999999,1.6666666666666663,1.0,0.13999999999999996,3.7999999999999963,0.6666666666666665,0.608695652173913,0.7368421052631576,0.7708333333333333
frozenset({'soda'}),"frozenset({'beer', 'chips', 'bread'})",0.525,0.375,0.325,0.6190476190476191,1.650793650793651,1.0,0.128125,1.640625,0.8299595141700405,0.5652173913043479,0.39047619047619053,0.7428571428571429
"frozenset({'beer', 'chips', 'bread'})",frozenset({'soda'}),0.375,0.525,0.325,0.8666666666666667,1.6507936507936507,1.0,0.128125,3.5625000000000004,0.6307692307692307,0.5652173913043479,0.7192982456140351,0.7428571428571429
"frozenset({'milk', 'beer', 'chips', 'bread'})","frozenset({'diapers', 'soda'})",0.325,0.375,0.2,0.6153846153846154,1.6410256410256412,1.0,0.078125,1.6250000000000002,0.5787037037037037,0.4000000000000001,0.3846153846153847,0.5743589743589743
"frozenset({'diapers', 'soda'})","frozenset({'milk', 'beer', 'chips', 'bread'})",0.375,0.325,0.2,0.5333333333333333,1.641025641025641,1.0,0.078125,1.4464285714285714,0.625,0.4000000000000001,0.3086419753086419,0.5743589743589743
"frozenset({'beer', 'pasta'})","frozenset({'diapers', 'bread'})",0.25,0.55,0.225,0.9,1.6363636363636362,1.0,0.0875,4.500000000000001,0.5185185185185185,0.3913043478260869,0.7777777777777778,0.6545454545454545
"frozenset({'diapers', 'soda', 'milk', 'beer'})",frozenset({'chips'}),0.25,0.55,0.225,0.9,1.6363636363636362,1.0,0.0875,4.500000000000001,0.5185185185185185,0.3913043478260869,0.7777777777777778,0.6545454545454545
"frozenset({'beer', 'diapers', 'soda', 'bread'})",frozenset({'chips'}),0.25,0.55,0.225,0.9,1.6363636363636362,1.0,0.0875,4.500000000000001,0.5185185185185185,0.3913043478260869,0.7777777777777778,0.6545454545454545
"frozenset({'soda', 'bread', 'diapers', 'milk', 'beer'})",frozenset({'chips'}),0.225,0.55,0.2,0.888888888888889,1.6161616161616161,1.0,0.07625,4.050000000000002,0.49193548387096764,0.3478260869565218,0.7530864197530865,0.6262626262626263
"frozenset({'milk', 'beer', 'pasta'})","frozenset({'diapers', 'bread'})",0.225,0.55,0.2,0.888888888888889,1.6161616161616161,1.0,0.07625,4.050000000000002,0.49193548387096764,0.3478260869565218,0.7530864197530865,0.6262626262626263
"frozenset({'beer', 'pasta'})","frozenset({'diapers', 'milk', 'bread'})",0.25,0.5,0.2,0.8,1.6,1.0,0.07500000000000001,2.5000000000000004,0.5,0.36363636363636365,0.6000000000000001,0.6000000000000001
"frozenset({'diapers', 'soda'})","frozenset({'beer', 'chips', 'bread'})",0.375,0.375,0.225,0.6,1.5999999999999999,1.0,0.084375,1.5625,0.6000000000000001,0.42857142857142855,0.36,0.6
"frozenset({'beer', 'chips', 'bread'})","frozenset({'diapers', 'soda'})",0.375,0.375,0.225,0.6,1.5999999999999999,1.0,0.084375,1.5625,0.6000000000000001,0.42857142857142855,0.36,0.6
frozenset({'chips'}),"frozenset({'soda', 'milk'})",0.55,0.4,0.35,0.6363636363636362,1.5909090909090906,1.0,0.12999999999999995,1.6499999999999995,0.8253968253968252,0.5833333333333333,0.3939393939393937,0.7556818181818181
"frozenset({'soda', 'milk'})",frozenset({'chips'}),0.4,0.55,0.35,0.8749999999999999,1.5909090909090906,1.0,0.12999999999999995,3.5999999999999965,0.6190476190476188,0.5833333333333333,0.722222222222222,0.7556818181818181
"frozenset({'diapers', 'chips', 'bread'})",frozenset({'soda'}),0.3,0.525,0.25,0.8333333333333334,1.5873015873015872,1.0,0.0925,2.8500000000000005,0.5285714285714286,0.4347826086956522,0.6491228070175439,0.6547619047619048
"frozenset({'diapers', 'soda', 'bread'})","frozenset({'chips', 'beer'})",0.3,0.475,0.225,0.75,1.5789473684210527,1.0,0.08250000000000002,2.1,0.523809523809524,0.40909090909090917,0.5238095238095238,0.611842105263158
"frozenset({'diapers', 'soda', 'milk'})","frozenset({'chips', 'beer'})",0.3,0.475,0.225,0.75,1.5789473684210527,1.0,0.08250000000000002,2.1,0.523809523809524,0.40909090909090917,0.5238095238095238,0.611842105263158
"frozenset({'soda', 'milk', 'bread'})",frozenset({'chips'}),0.375,0.55,0.325,0.8666666666666667,1.5757575757575757,1.0,0.11875,3.3750000000000004,0.5846153846153845,0.5416666666666666,0.7037037037037037,0.7287878787878788
frozenset({'chips'}),"frozenset({'soda', 'milk', 'bread'})",0.55,0.375,0.325,0.5909090909090908,1.5757575757575755,1.0,0.11875,1.5277777777777775,0.811965811965812,0.5416666666666666,0.34545454545454535,0.7287878787878788
"frozenset({'beer', 'diapers', 'chips', 'bread'})",frozenset({'soda'}),0.275,0.525,0.225,0.8181818181818181,1.5584415584415583,1.0,0.08062499999999997,2.612499999999999,0.49425287356321823,0.3913043478260869,0.617224880382775,0.6233766233766234
frozenset({'apple'}),"frozenset({'soda', 'milk'})",0.325,0.4,0.2,0.6153846153846154,1.5384615384615385,1.0,0.07,1.56,0.5185185185185185,0.3809523809523809,0.35897435897435903,0.5576923076923077
frozenset({'cereal'}),"frozenset({'soda', 'chips'})",0.325,0.4,0.2,0.6153846153846154,1.5384615384615385,1.0,0.07,1.56,0.5185185185185185,0.3809523809523809,0.35897435897435903,0.5576923076923077
"frozenset({'soda', 'chips'})",frozenset({'cereal'}),0.4,0.325,0.2,0.5,1.5384615384615383,1.0,0.07,1.35,0.5833333333333334,0.3809523809523809,0.25925925925925924,0.5576923076923077
"frozenset({'soda', 'milk'})",frozenset({'apple'}),0.4,0.325,0.2,0.5,1.5384615384615383,1.0,0.07,1.35,0.5833333333333334,0.3809523809523809,0.25925925925925924,0.5576923076923077
"frozenset({'diapers', 'soda', 'milk', 'bread'})","frozenset({'chips', 'beer'})",0.275,0.475,0.2,0.7272727272727273,1.5311004784688997,1.0,0.06937500000000002,1.9250000000000003,0.4784482758620691,0.36363636363636365,0.48051948051948057,0.5741626794258373
"frozenset({'apple', 'milk'})",frozenset({'soda'}),0.25,0.525,0.2,0.8,1.5238095238095237,1.0,0.06875,2.3750000000000004,0.4583333333333333,0.3478260869565218,0.5789473684210527,0.5904761904761905
"frozenset({'soda', 'bread'})","frozenset({'chips', 'beer'})",0.45,0.475,0.325,0.7222222222222222,1.52046783625731,1.0,0.11125000000000002,1.89,0.6223776223776224,0.5416666666666666,0.4708994708994709,0.7032163742690059
"frozenset({'chips', 'beer'})","frozenset({'soda', 'bread'})",0.475,0.45,0.325,0.6842105263157895,1.5204678362573099,1.0,0.11125000000000002,1.741666666666667,0.652014652014652,0.5416666666666666,0.4258373205741627,0.7032163742690059
"frozenset({'diapers', 'soda', 'bread'})",frozenset({'chips'}),0.3,0.55,0.25,0.8333333333333334,1.5151515151515151,1.0,0.08499999999999999,2.7,0.4857142857142857,0.41666666666666663,0.6296296296296297,0.6439393939393939
"frozenset({'diapers', 'soda', 'milk'})",frozenset({'chips'}),0.3,0.55,0.25,0.8333333333333334,1.5151515151515151,1.0,0.08499999999999999,2.7,0.4857142857142857,0.41666666666666663,0.6296296296296297,0.6439393939393939
"frozenset({'diapers', 'soda', 'beer'})",frozenset({'chips'}),0.3,0.55,0.25,0.8333333333333334,1.5151515151515151,1.0,0.08499999999999999,2.7,0.4857142857142857,0.41666666666666663,0.6296296296296297,0.6439393939393939
"frozenset({'diapers', 'chips'})","frozenset({'soda', 'milk', 'beer'})",0.425,0.35,0.225,0.5294117647058824,1.512605042016807,1.0,0.07625000000000001,1.38125,0.5893719806763287,0.40909090909090917,0.27601809954751133,0.5861344537815126
